${0} ${1} already exists.,${0} ${1} 已经存在。,
"${0} ${1} does not exist",${0} ${1} 不存在,
${0} ${1} has been modified after loading,${0} ${1} 加载后已修改,
${0} ${1} is linked with existing records.,${0} ${1} 与现有记录相关联。,
"${0} account not set in Inventory Settings.",${0} 账户在库存设置中不存在。,
${0} already exists.,${0} 已经存在。,
"${0} already saved",${0} 已保存,
"${0} already submitted",${0} 已提交,
"${0} cancelled",${0} 取消,
"${0} cannot be cancelled",${0} 不能被取消,
"${0} cannot be deleted",${0} 不能被删除,
"${0} deleted",${0} 已删除,
"${0} entries failed",${0} 条目失败,
"${0} entries imported",${0} 已经导入,
"${0} entry failed",${0} 条目失败,
"${0} entry imported",${0} 已导入,
"${0} fields selected",${0} 已选中,
${0} filters applied,${0} 已应用过滤器,
"${0} of type ${1} does not exist",不存在是 ${1} 类型的 ${0},
"${0} out of ${1}", ${0} 超过了 ${1},
"${0} party ${1} is different from ${2}",${0} 的实体 ${1} 和 ${2} 不一样,
"${0} quantity 1 added.", ${0} 数量加1,
"${0} row added.",${0} 行已添加,
${0} rows,${0} 行,
* required fields,* 必填字段,
"${0} rows added.",${0} 行已添加,
"${0} saved",${0} 已保存,
"${0} shortcuts",${0} 快捷方式,
"${0} stored at ${1}",${0} 存贮在 ${1},
"${0} submitted",${0} 已提交,
"${0} value ${1} does not exist.",${0} 的 ${1} 值不存在,
0%,0%,
03-23-2022,03-23-2022,
03/23/2022,03/23/2022,
1 filter applied,已应用 1 个过滤器,
2022-03-23,2022-03-23,
2022/3/23,2022/3/23,
"23 Mar, 2022","23 Mar, 2022",
23-03-2022,23-03-2022,
23.03.2022,23.03.2022,
23/03/2022,23/03/2022,
9888900000,9888900000,
"A submittable entry is deleted only if it is in the cancelled state.","仅当提交的条目处于取消状态时,才会将其删除。",
Account,帐户,
"Account ${0} does not exist.",${0} 账户不存在,
Account Entries,帐户条目,
Account Name,帐户名称,
Account Type,帐户类型,
Accounting,会计,
"Accounting Entries",会计实体,
Accounting Ledger Entry,会计分类帐输入,
Accounting Settings,会计设置,
Accounts,账户,
Accounts Payable,应付账款,
Accounts Receivable,应收账款,
Accumulated Depreciation,累计折旧,
Action,操作,
Add Account,添加帐户,
Add Customers,添加客户,
Add Group,添加组,
Add Items,添加项目,
Add Row,添加行,
Add Suppliers,添加供应商,
Add Taxes,加税,
"Add a few customers to create your first sales invoice",添加一些供应商来创建您的第一个销售发票,
"Add a few suppliers to create your first purchase invoice",添加一些供应商来创建您的第一个采购发票,
Add a few customers to create your first invoice,添加一些客户来创建您的第一个发票,
Add a few suppliers to create your first bill,添加一些供应商来创建您的第一个账单,
Add a filter,添加过滤器,
Add a remark,添加备注,
"Add attachment",添加附件,
Add invoice terms,添加发票条款,
Add products or services that you buy from your suppliers,添加您从供应商处购买的产品或服务,
Add products or services that you sell to your customers,添加您向客户销售的产品或服务,
"Add transfer terms",添加转让条款,
"Additional quantity (${0}) required${1} to make outward transfer of item ${2} from ${3} on ${4}","需要额外的数量 (${0}) ${1},才能在 ${4} 从 ${3} 转移 ${2} 物品。",
Address,地址,
Address Display,地址显示,
Address Line 1,地址第 1 行,
Address Line 2,地址第 2 行,
"Address Name",地址名,
Administrative Expenses,行政开支,
All,全部,
Amount,总计,
"Amount Paid",已付金额,
Amount (Company Currency),金额（公司货币）,
Amount: ${0} and writeoff: ${1} is less than the total amount allocated to references: ${2}.,金额：${0} 和注销：${1} 少于分配给参考的总金额：${2}。,
Amount: ${0} is less than the total amount allocated to references: ${1}.,金额：${0} 小于分配给参考的总金额：${1}。,
Amounts,金额,
"An entry is cancelled only if it is in the submitted state.","只有当条目处于已提交状态时,才能取消它。",
"An entry is submitted only if it is submittable and is in the saved state.","只有当条目处于可提交状态且已保存时,才能提交它。",
An error occurred.,发生错误。,
"Applicable anywhere in Frappe Books",适用于 Frappe Books 中的任何位置,
"Applicable when Quick Search is open",仅当快速搜索处于打开状态时适用。,
"Applicable when Template Builder is open",仅当模板生成器处于打开状态时适用。,
"Applicable when a entry is open in the Form view or Quick Edit view",当在表单视图或快速编辑视图中打开条目时适用。,
"Applicable when the List View of an entry type is open",当打开条目类型的列表视图时适用。,
Application of Funds (Assets),资金（资产）应用,
"Apply and view changes made to the print template",应用并查看对打印模板所做的更改。,
April,四月,
Arial,Arial,
Ascending Order,升序,
Asset,资产,
Assign Imported Labels,分配导入的标签,
Attachment,附件,
August,八月,
Back,后退,
"Back Reference",返回引用,
Bad import data.,导入数据错误。,
"Bad import data, could not read file","导入数据失败,无法读取文件。",
Balance,平衡,
